input shapes: (-1, 20, 10, 1) (1, 46) 
 [height_sum, hole_sum, combo, is_hold, 6 * 7 type] -> length = 43 
outer =   22 | pre-training avg score = 9640.100 | loss =  100.085 | mse =  100.085 | dataset size =   72111 | new dataset size =   12020 | time elapsed:  314.5 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   23 | pre-training avg score = 2653.400 | loss =  107.939 | mse =  107.939 | dataset size =   72108 | new dataset size =   12018 | time elapsed:  313.2 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   24 | pre-training avg score = 8710.100 | loss =  106.065 | mse =  106.065 | dataset size =   72097 | new dataset size =   12014 | time elapsed:  314.0 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   25 | pre-training avg score = 2916.733 | loss =  116.374 | mse =  116.374 | dataset size =   72100 | new dataset size =   12016 | time elapsed:  406.5 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   26 | pre-training avg score = 1486.060 | loss =  152.967 | mse =  152.967 | dataset size =   72093 | new dataset size =   12015 | time elapsed:  309.3 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   27 | pre-training avg score = 1720.100 | loss =  154.338 | mse =  154.338 | dataset size =   72099 | new dataset size =   12018 | time elapsed:  339.1 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   28 | pre-training avg score = 2816.767 | loss =  156.136 | mse =  156.136 | dataset size =   72112 | new dataset size =   12021 | time elapsed:  361.5 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   29 | pre-training avg score = 1947.575 | loss =  173.760 | mse =  173.760 | dataset size =   72102 | new dataset size =   12016 | time elapsed:  308.9 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   30 | pre-training avg score = 4305.100 | loss =  163.244 | mse =  163.244 | dataset size =   72097 | new dataset size =   12014 | time elapsed:  363.9 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
outer =   31 | pre-training avg score = 2960.100 | loss =  171.178 | mse =  171.178 | dataset size =   72123 | new dataset size =   12024 | time elapsed:  360.2 sec | coef = [1.0, 1.0, 1.0, 1.0] | penalty =    -500 | gamma =  0.950 | search best/rd = 6, 6 |
